iter	Passed	Remaining
0	1	127
1	2	103
2	2	95
3	3	84
4	4	80
5	4	77
6	5	74
7	6	75
8	7	75
9	8	76
10	10	84
11	12	88
12	13	87
13	13	84
14	14	82
15	15	80
16	15	78
17	16	75
18	17	74
19	18	72
20	18	70
21	19	68
22	20	67
23	21	66
24	21	65
25	22	64
26	23	63
27	24	62
28	25	61
29	25	60
30	26	59
31	27	58
32	28	57
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	33	49
40	33	48
41	34	47
42	34	46
43	35	45
44	36	44
45	37	43
46	37	42
47	38	42
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	34
57	46	33
58	46	32
59	47	31
60	48	30
61	48	30
62	49	29
63	50	28
64	51	27
65	52	26
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	57	21
73	58	20
74	59	19
75	60	18
76	60	18
77	61	17
78	62	16
79	62	15
80	63	14
81	64	14
82	65	13
83	66	12
84	66	11
85	67	11
86	68	10
87	69	9
88	70	8
89	70	7
90	71	7
91	72	6
92	73	5
93	73	4
94	74	3
95	75	3
96	75	2
97	76	1
98	77	0
99	78	0
